TimerID Timer1 1
TimerID Timer2 2
SubscriberID Subscriber1 4
SubscriberID Subscriber2 5
TimerID Timer3 3
SubscriberID Subscriber3 6
SubscriberID Subscriber4 7
SubscriberID Subscriber5 8
SubscriberID Subscriber6 9
SubscriberID Subscriber7 10
SubscriberID Subscriber8 11
SubscriberID Subscriber9 12
SubscriberID Subscriber10 13
Subscriber 4 20 4222000000
Subscriber 5 9 4222000000
Subscriber 10 19 4276000000
Timer 3 26 4322000000
Subscriber 6 20 4324000000
Subscriber 7 9 4324000000
Subscriber 8 25 4324000000
Subscriber 9 9 4324000000
Subscriber 12 24 4366000000
Timer 1 21 4400000000
Subscriber 4 21 4422000000
Subscriber 8 26 4474000000
Subscriber 10 20 4476000000
Timer 3 27 4482000000
Subscriber 6 21 4524000000
Subscriber 11 9 4556000000
Subscriber 12 25 4566000000
Subscriber 13 9 4576000000
Timer 1 22 4600000000
Timer 2 10 4620000000
Subscriber 4 22 4622000000
Subscriber 8 27 4624000000
Subscriber 5 10 4642000000
Timer 3 28 4642000000
Subscriber 10 21 4676000000
Subscriber 12 26 4716000000
Subscriber 6 22 4724000000
Subscriber 7 10 4724000000
Subscriber 9 10 4724000000
Subscriber 8 28 4774000000
Timer 1 23 4800000000
Timer 3 29 4802000000
Subscriber 4 23 4822000000
Subscriber 12 27 4866000000
Subscriber 10 22 4876000000
Subscriber 6 23 4924000000
Subscriber 8 29 4924000000
Subscriber 11 10 4956000000
Timer 3 30 4962000000
Subscriber 13 10 4976000000
Timer 1 24 5000000000
Subscriber 12 28 5016000000
Subscriber 4 24 5022000000
Timer 2 11 5040000000
Subscriber 5 11 5062000000
Subscriber 10 23 5076000000
Timer 3 31 5122000000
Subscriber 6 24 5124000000
Subscriber 8 30 5124000000
Subscriber 12 29 5166000000
Subscriber 7 11 5174000000
Subscriber 9 11 5174000000
Timer 1 25 5200000000
Subscriber 4 25 5222000000
Subscriber 8 31 5274000000
Subscriber 10 24 5276000000
Timer 3 32 5282000000
Subscriber 6 25 5324000000
Subscriber 12 30 5366000000
Timer 1 26 5400000000
Subscriber 11 11 5406000000
Subscriber 4 26 5422000000
Subscriber 8 32 5424000000
Subscriber 13 11 5426000000
Timer 3 33 5442000000
Timer 2 12 5460000000
Subscriber 10 25 5476000000
Subscriber 5 12 5482000000
Subscriber 12 31 5516000000
Subscriber 6 26 5524000000
Subscriber 7 12 5574000000
Subscriber 8 33 5574000000
Subscriber 9 12 5574000000
Timer 1 27 5600000000
Timer 3 34 5602000000
Subscriber 4 27 5622000000
Subscriber 12 32 5666000000
Subscriber 10 26 5676000000
Subscriber 6 27 5724000000
Subscriber 8 34 5724000000
Timer 3 35 5762000000
Timer 1 28 5800000000
Subscriber 11 12 5806000000
Subscriber 12 33 5816000000
Subscriber 4 28 5822000000
Subscriber 13 12 5826000000
Subscriber 10 27 5876000000
Timer 2 13 5880000000
Subscriber 5 13 5902000000
Timer 3 36 5922000000
Subscriber 6 28 5924000000
Subscriber 8 35 5924000000
Subscriber 12 34 5966000000
Subscriber 7 13 5974000000
Subscriber 9 13 5974000000
Timer 1 29 6000000000
Subscriber 4 29 6022000000
Subscriber 8 36 6074000000
Subscriber 10 28 6076000000
Timer 3 37 6082000000
Subscriber 6 29 6124000000
Subscriber 12 35 6166000000
Timer 1 30 6200000000
Subscriber 11 13 6206000000
Subscriber 4 30 6222000000
Subscriber 8 37 6224000000
Subscriber 13 13 6226000000
Timer 3 38 6242000000
Subscriber 10 29 6276000000
Timer 2 14 6300000000
Subscriber 12 36 6316000000
Subscriber 5 14 6322000000
Subscriber 6 30 6324000000
Subscriber 8 38 6374000000
Timer 1 31 6400000000
Timer 3 39 6402000000
Subscriber 4 31 6422000000
Subscriber 7 14 6424000000
Subscriber 9 14 6424000000
Subscriber 12 37 6466000000
Subscriber 10 30 6476000000
Subscriber 6 31 6524000000
Subscriber 8 39 6524000000
Timer 3 40 6562000000
Timer 1 32 6600000000
Subscriber 12 38 6616000000
Subscriber 4 32 6622000000
Subscriber 11 14 6656000000
Subscriber 10 31 6676000000
Subscriber 13 14 6676000000
Timer 2 15 6720000000
Timer 3 41 6722000000
Subscriber 6 32 6724000000
Subscriber 8 40 6724000000
Subscriber 5 15 6742000000
Subscriber 12 39 6766000000
Timer 1 33 6800000000
Subscriber 4 33 6822000000
Subscriber 7 15 6824000000
Subscriber 9 15 6824000000
Subscriber 8 41 6874000000
Subscriber 10 32 6876000000
Timer 3 42 6882000000
Subscriber 6 33 6924000000
Subscriber 12 40 6966000000
Timer 1 34 7000000000
Subscriber 4 34 7022000000
Subscriber 8 42 7024000000
Timer 3 43 7042000000
Subscriber 11 15 7056000000
Subscriber 10 33 7076000000
Subscriber 13 15 7076000000
Subscriber 12 41 7116000000
Subscriber 6 34 7124000000
Timer 2 16 7140000000
Subscriber 5 16 7162000000
Subscriber 8 43 7174000000
Timer 1 35 7200000000
Timer 3 44 7202000000
Subscriber 4 35 7222000000
Subscriber 12 42 7266000000
Subscriber 7 16 7274000000
Subscriber 9 16 7274000000
Subscriber 10 34 7276000000
Subscriber 6 35 7324000000
